ID,Module_Name,Parameters,Percentage (%)
0,Conv,696,0.01
1,DSC,1512,0.02
2,C2f_DSC_LR,19892,0.23
3,DSC,5328,0.06
4,C2f_DSC_LR,135616,1.55
5,DSC,19872,0.23
6,C2f_DSC_LR,535424,6.12
7,DSC,76608,0.88
8,C2f_DSC_LR,1212032,13.86
9,SimSPPF,369792,4.23
10,SimFusion_4in,0,0.0
11,IFM,356928,4.08
12,Conv_LR,74688,0.85
13,SimFusion_3in,555264,6.35
14,InjectionMultiSum_Auto_pool,265216,3.03
15,C3Ghost,390816,4.47
16,Conv_LR,18912,0.22
17,SimFusion_3in,139392,1.59
18,InjectionMultiSum_Auto_pool,67072,0.77
19,C3Ghost,100176,1.15
20,PyramidPoolAgg,338624,3.87
21,Conv,67968,0.78
22,SimAM,0,0.0
23,AdvPoolFusion,0,0.0
24,InjectionMultiSum_Auto_pool,132608,1.52
25,C3Ghost,100176,1.15
26,AdvPoolFusion,0,0.0
27,InjectionMultiSum_Auto_pool,429056,4.91
28,C3Ghost,390816,4.47
29,Detect,2937264,33.6
